unemp,sippst,year,mth
8.8999996,10,1985,4
8.6999998,10,1985,5
8.6000004,10,1985,6
8.6000004,10,1985,7
8.6000004,10,1985,8
8.3999996,10,1985,9
8.1000004,10,1985,10
7.6999998,10,1985,11
7.1999998,10,1985,12
6.8000002,10,1986,1
7.1999998,10,1986,2
7.5999999,10,1986,3
7.8000002,10,1986,4
8,10,1986,5
8,10,1986,6
8.1000004,10,1986,7
7.9000001,10,1986,8
7.8000002,10,1986,9
7.6999998,10,1986,10
8,10,1986,11
7.9000001,10,1986,12
7.5999999,10,1987,1
7.3000002,10,1987,2
6.5999999,10,1987,3
6.4000001,10,1987,4
6.4000001,10,1987,5
6.5,10,1987,6
6.4000001,10,1987,7
6.1999998,10,1987,8
6.1999998,10,1987,9
5.8000002,10,1987,10
5.5999999,10,1987,11
5.3000002,10,1987,12
5.3000002,10,1988,1
5.1999998,10,1988,2
5.0999999,10,1988,3
5,10,1988,4
4.6999998,10,1988,5
4.6999998,10,1988,6
4.5,10,1988,7
4.5999999,10,1988,8
4.8000002,10,1988,9
4.8000002,10,1988,10
4.4000001,10,1988,11
4.8000002,10,1988,12
5.1999998,10,1989,1
5.0999999,10,1989,2
4.5999999,10,1989,3
5.0999999,10,1989,4
5.1999998,10,1989,5
5.0999999,10,1989,6
4.9000001,10,1989,7
5.0999999,10,1989,8
5.0999999,10,1989,9
5,10,1989,10
5.1999998,10,1989,11
5.4000001,10,1989,12
5.6999998,10,1990,1
6,10,1990,2
6.3000002,10,1990,3
6.5,10,1990,4
6.5999999,10,1990,5
6.6999998,10,1990,6
6.9000001,10,1990,7
6.5999999,10,1990,8
6.9000001,10,1990,9
7.0999999,10,1990,10
7.0999999,10,1990,11
7.0999999,10,1990,12
7,10,1991,1
7,10,1991,2
7.1999998,10,1991,3
7.5999999,10,1991,4
7.6999998,10,1991,5
7.8000002,10,1991,6
8,10,1991,7
8.1000004,10,1991,8
8.3000002,10,1991,9
8.3999996,10,1991,10
8.3000002,10,1991,11
8.6999998,10,1991,12
8.5,10,1992,1
8.5,10,1992,2
8.6000004,10,1992,3
8.3999996,10,1992,4
8.3999996,10,1992,5
8.3999996,10,1992,6
8.3999996,10,1992,7
8.3999996,10,1992,8
8.6000004,10,1992,9
8.8000002,10,1992,10
8.8999996,10,1992,11
8.8000002,10,1992,12
8.8999996,10,1993,1
8.8999996,10,1993,2
8.8000002,10,1993,3
8.6000004,10,1993,4
8.5,10,1993,5
8.6000004,10,1993,6
8.6000004,10,1993,7
8.6999998,10,1993,8
8.5,10,1993,9
8.5,10,1993,10
8.5,10,1993,11
8.3999996,10,1993,12
8.3999996,10,1994,1
8.3999996,10,1994,2
8.3999996,10,1994,3
8,10,1994,4
8.1000004,10,1994,5
8.1999998,10,1994,6
8.3000002,10,1994,7
8,10,1994,8
7.9000001,10,1994,9
7.9000001,10,1994,10
8.1999998,10,1994,11
8.3000002,10,1994,12
8.5,10,1995,1
8.6000004,10,1995,2
8.6000004,10,1995,3
8.8999996,10,1995,4
9,10,1995,5
9.3000002,10,1995,6
9.1000004,10,1995,7
9,10,1995,8
9,10,1995,9
9,10,1995,10
8.8999996,10,1995,11
8.8999996,10,1995,12
8.8000002,10,1996,1
8.6000004,10,1996,2
8.8000002,10,1996,3
8.8999996,10,1996,4
9,10,1996,5
